[-0.30034632 -0.1005807 ]
[-0.26713447 -0.10083888]
[-0.2821011  -0.11178228]
[-0.27349912 -0.1125693 ]
[-0.34679906 -0.12629649]
[-0.16745979 -0.03524032]
[-0.1919055  -0.02413219]
[-0.08089506 -0.00626975]
[-0.02966167  0.06276617]
[-0.14887835 -0.10962055]
[-0.15393338 -0.01706568]
[-0.16969631  0.0027067 ]
[-0.16960091 -0.05715079]
[-0.17103676 -0.06729391]
[0.00656803 0.07745488]
[0.00309246 0.02216497]
[0.00492663 0.04766564]
[-0.02444376  0.04577552]
[-0.00643771  0.03463988]
[-0.00890149  0.02472958]
[0.04801334 0.1517396 ]
[-0.18267428 -0.06320111]
[-0.17950213 -0.09388972]
[0.10060095 0.01413038]
[-0.19719855 -0.10759812]
[0.17092112 0.14599993]
[-0.04605584  0.05148926]
[-0.11287755  0.04013232]
[-0.13471363 -0.0791488 ]
[-0.19966254 -0.0796153 ]
[0.10110511 0.40338591]
[0.08573954 0.34173992]
[0.04800691 0.07843276]
[-0.08240884 -0.06176631]
[0.09914927 0.03381444]
[0.11872528 0.0325012 ]
[-0.01894209  0.07089384]
[-0.09005489 -0.05329423]
[-0.09115369 -0.06409083]
[-0.00486966  0.32255383]
[ 0.29319218 -0.02695196]
[0.12240955 0.22037386]
[0.08642315 0.05226665]
[0.07980044 0.04907356]
[-0.11679142  0.0014969 ]
[0.01292422 0.19377836]
[-0.1387534  -0.09792651]
[-0.14709524 -0.06833165]
[-0.08192373 -0.02780198]
[-0.08391312 -0.06472217]
[ 0.00569258 -0.08351754]
[-0.06919022 -0.03971717]
[-0.08685469 -0.06436002]
[-0.082342   -0.06832763]
[-0.07625109 -0.03748409]
[-0.07718284 -0.05780891]
[0.17432367 0.00072586]
[0.13248995 0.03347613]
[0.06198267 0.16872286]
[0.07929209 0.18971886]
[0.035429   0.19813657]
[0.05653607 0.20360253]
[-0.02231193 -0.06166116]
[-0.11304426 -0.02793286]
[-0.10124327 -0.00406975]
[-0.02365706  0.11392633]
[0.04305293 0.13845457]
[ 0.01765274 -0.00784872]
[-0.1259117  -0.03099538]
[-0.00606036 -0.02091421]
[0.23535133 0.0175231 ]
[-0.17516225  0.0007654 ]
[-0.20261653 -0.14283099]
[-0.156529   -0.06712514]
[0.00626135 0.09625213]
[-0.07133593  0.05907636]
[-0.03160673  0.18467884]
[ 0.01029114 -0.04580264]
[-0.07140149  0.04647478]
[-0.10597567  0.03398746]
[-0.41537539 -0.22444079]
[-0.35047132 -0.09375431]
[0.03016828 0.16197309]
[ 0.16638575 -0.02260206]
[0.16347127 0.01613619]
[0.0231275  0.08912316]
[0.00736969 0.07424666]
[0.07591473 0.06758169]
[0.08879727 0.0291914 ]
[0.05416843 0.05624655]
[-0.00881345  0.07665063]
[0.1406393  0.02299066]
[ 0.10368169 -0.00205615]
[0.1131166  0.35338117]
[0.04098246 0.35232119]
[-0.05866913 -0.02939825]
[-0.09653329 -0.03626698]
[-0.09338595 -0.04418289]
[-0.1417843  -0.04896212]
[-0.03342662  0.00508054]
[-0.09193826 -0.01995502]
[-0.0507108  -0.03247171]
[-0.06491301  0.00176409]
[-0.1047458  -0.00456342]
[-0.07447807 -0.00479613]
[-0.04922652 -0.00565179]
[-0.00586442  0.49294631]
[-0.13087753 -0.03603809]
[-0.19354354 -0.0260138 ]
[-0.07860572  0.04465845]
