No,name,LCD,VF,Density,PLD,Va,ASA,,,,,,
1,(1-22)n COF with AA stacking,6.0027,0.47725,0.97003,5.74816,0.492,837.66699,,,,,,
2,12C4-COF with AA stacking,19.719,0.76503,0.4577,19.51272,1.67146,2413.69995,,,,,,
3,15C5-COF with AA stacking,16.86472,0.74762,0.48611,16.31454,1.53796,2502.93994,,,,,,
4,18C6-COF with AA stacking,13.63704,0.70369,0.56827,13.20257,1.23831,2262.16992,,,,,,
5,2D-BPTA-COF,8.24978,0.55906,0.82722,7.29541,0.67583,1463.32996,,,,,,
6,2D-NiPc-BTDA-COF,12.33636,0.61788,0.97119,11.95867,0.63621,1192.13,,,,,,
7,3D-BMTA-COF,9.9715,0.54992,0.83347,9.76591,0.65979,1374.06995,,,,,,
8,3D-COOH-COF,4.79245,0.51701,0.92889,3.04393,0.55659,0,,,,,,
9,3D-CuPor-COF,16.46047,0.83921,0.33156,13.64478,2.53107,5816.83984,,,,,,
10,3D-HNU5  two-interpenetrated ,11.50422,0.83789,0.30788,7.64416,2.72148,7795.7002,,,,,,
11,3D-HNU5  three-interpenetrated,6.32614,0.75824,0.46182,5.7532,1.64185,7445.02002,,,,,,
12,3D-HNU5  four-interpenetrated,7.67734,0.67864,0.61576,4.72002,1.10212,2326.67993,,,,,,
13,3D-HNU5   five-interpenetrated,5.87881,0.59478,0.7697,5.64925,0.77274,1367.06006,,,,,,
14,3D-HNU5  non-interpenetrated ,14.32155,0.87184,0.317,12.10114,2.75031,5205.54004,,,,,,
15,3D-IL-COF-1,7.53693,0.71748,0.50351,6.98122,1.42495,3176.15991,,,,,,
16,3D-IL-COF-2,7.85886,0.57458,0.72294,7.73396,0.79478,1465.04004,,,,,,
17,3D-IL-COF-3,10.00281,0.61103,0.66521,9.94781,0.91855,1770.72998,,,,,,
18,3D-OH-COF,7.06143,0.60387,0.76611,6.35265,0.78823,1937.55005,,,,,,
19,3D-Por-COF,16.30857,0.83932,0.31175,13.66038,2.69229,6104.91992,,,,,,
20,3D-Py-COF,13.46817,0.8534,0.27981,12.29168,3.04997,7309.81006,,,,,,
21,3D-TPE-COF,5.96864,0.4734,0.95464,4.40763,0.49589,439.423,,,,,,
22,4PE-1P-oxi,25.03222,0.77,0.45447,24.50311,1.69428,2721.07007,,,,,,
23,4PE-1P-COF,25.26264,0.78652,0.3905,24.67919,2.01414,3221.18994,,,,,,
24,4PE-1P,24.32238,0.73042,0.52243,23.92011,1.39812,2344.42993,,,,,,
