No,name,LCD,VF,Density,PLD,Va,ASA
1,1499489-acs.cgd.6b01265_1499490_freeONLY,10.85017,0.6458,0.884188,3.77263,0.730388,1924.4
2,ABAVIJ_freeONLY,4.45543,0.3792,1.52493,2.4972,0.248668,0
3,ABAYIO_freeONLY,11.39486,0.6636,0.949126,4.3226,0.69917,1505.31
4,ABAYOU_freeONLY,11.27344,0.6638,0.979267,4.5108,0.677854,1494.4
5,ABEFUL_freeONLY,4.93969,0.4118,1.55108,3.32948,0.265493,269.806
6,ABESUX_freeONLY,4.34139,0.4162,4.16246,2.75123,0.0999889,0
7,ABETAE_freeONLY,4.37472,0.426,4.11394,2.81187,0.10355,0
8,ABETIN_freeONLY,9.47418,0.7302,0.597233,7.83744,1.22264,3810.89
9,ABEXEM_freeONLY,4.35567,0.4272,1.89715,3.3888,0.225179,237.685
10,ABEXEN_freeONLY,18.8079,0.753,0.674371,13.71867,1.1166,2447.09
11,ABEXIQ_freeONLY,4.27704,0.4178,1.92553,3.44359,0.216979,219.474
12,ABEXOW_freeONLY,4.23118,0.4454,1.95197,3.39335,0.22818,202.028
13,ABEXUC_freeONLY,4.19938,0.4264,1.98907,3.32185,0.214371,170.668
14,ABEYAJ_freeONLY,4.13217,0.409,2.04932,3.42102,0.199578,210.796
15,ABEYEN_freeONLY,4.10698,0.4046,2.07329,3.3714,0.195149,164.054
16,ABEYIR_freeONLY,4.08888,0.3984,2.11451,3.34226,0.188413,140.621
17,ABIXOZ_freeONLY,5.73439,0.536,2.09588,3.88117,0.255739,635.672
18,ABIYIV_freeONLY,4.33176,0.4458,1.34661,3.82431,0.331055,418.836
19,ABULOB_freeONLY,4.86958,0.5364,1.31921,4.16445,0.406607,898.121
20,ac403674p_si_001_freeONLY,8.50423,0.5906,1.12072,8.27985,0.526983,1089.26
21,ACAJIY_freeONLY,4.94766,0.5292,1.0939,3.4178,0.483772,752.116
22,ACAJIZ_freeONLY,6.1865,0.4824,1.30148,5.74044,0.370656,753.879
23,ACAJOF_freeONLY,6.86398,0.513,1.21871,6.10482,0.420936,920.046
24,ACIBIY_freeONLY,5.10081,0.4594,1.73515,3.73403,0.264761,525.866
25,ACIBOE_freeONLY,8.25776,0.5798,1.27325,7.03071,0.455371,783.997
26,ACODON_freeONLY,7.1439,0.598,1.14924,4.65537,0.520346,1505.09
27,ACODUT_freeONLY,5.4607,0.4404,1.51914,3.36863,0.289902,293.64
28,ACOGAB_freeONLY,5.20085,0.5566,1.15458,3.89327,0.482082,1240.99
29,ACOGEF_freeONLY,5.20115,0.5544,1.25952,3.94888,0.440169,1138.35
30,ACOLEL_freeONLY,4.00255,0.354,1.45481,2.78217,0.24333,0
31,ACOLIP_freeONLY,4.91034,0.5434,1.04949,3.57647,0.517777,1015.2
32,ACOLOV_freeONLY,8.42183,0.6412,0.932883,5.53552,0.687332,2069.51
33,acs.cgd.5b01554_VAGNUP1452791_freeONLY,4.77823,0.3514,1.93666,1.35265,0.181446,0
34,acs.cgd.5b01632_ZAHKOL1438120_freeONLY,4.49227,0.4904,1.64661,3.65318,0.297824,500.429
35,acs.cgd.5b01686_WAHFUJ1434675_freeONLY,5.00451,0.4874,1.28464,3.93435,0.379407,843.223
36,acs.cgd.6b00163_UKEBOD1448508_freeONLY,4.86973,0.396,1.61619,2.55151,0.245021,0
37,acs.cgd.6b00463_OLOMUZ1451936_freeONLY,10.06088,0.6226,1.16799,5.98127,0.533053,1494.26
38,acs.chemmater.5b03723_cm5b03723_si_004_freeONLY,12.83204,0.6786,0.805526,7.11329,0.842431,2396.05
39,acs.chemmater.5b03723_cm5b03723_si_005_freeONLY,12.72268,0.726,0.677788,7.3388,1.07113,3162.27
40,acs.chemmater.6b02817_cm6b02817_si_004_freeONLY,10.39878,0.6582,0.957959,5.56324,0.687086,1365.49
41,acs.chemrev.6b00346_cr6b00346_si_001_freeONLY,9.19439,0.6912,0.906382,3.959,0.762592,2527.25
42,acs.inorgchem.5b02108_ic5b02108_si_002_freeONLY,7.194,0.591,1.21033,7.0599,0.488296,1318.96
43,acs.inorgchem.5b02316_ic5b02316_si_002_freeONLY,10.12066,0.6312,1.39636,3.72902,0.452033,1207.75
44,acs.inorgchem.5b02378_ic5b02378_si_002_freeONLY,3.84352,0.356,2.34418,3.57212,0.151866,136.059
45,acs.inorgchem.5b02973_ic5b02973_si_002_freeONLY,11.38761,0.593,1.02785,10.4443,0.576933,1019.37
46,acs.inorgchem.6b00081_ic6b00081_si_001_freeONLY,7.28268,0.4952,1.16215,5.80535,0.426107,673.218
47,acs.inorgchem.6b00136_ic6b00136_si_002_freeONLY,6.38282,0.5176,1.29125,6.02136,0.400853,573.401
48,acs.inorgchem.6b00276_ic6b00276_si_006_freeONLY,14.12459,0.7196,0.764229,8.71298,0.941602,2585.2
49,acs.inorgchem.6b00433_ic6b00433_si_002_freeONLY,3.85664,0.3886,1.39305,1.52732,0.278957,0
50,acs.inorgchem.6b00894_ic6b00894_si_002_freeONLY,6.64699,0.5272,1.10689,4.59021,0.476289,1099.29
