,Actual,actual_ranks,SVR_pre,SVR_ranks,MLP_pre,MLP_ranks,DT_pre,DT_ranks,GBR_pre,GBR_ranks,HGBR_pre,HGBR_ranks,RF_pre,RF_ranks
0,204.0223965,1730,165.7958913,1748,151.8872201,1660,166.2511018,1666,200,1730,183.3773311,1700,179.9327964,1703
1,291.6600794,1821,190.3719758,1811,190.668274,1755,188.9494635,1744,290,1803,242.0175401,1799,245.3969738,1798
2,16.32553464,448,52.59948768,905,6.557230077,264,26.20978284,557,22.623465,474,16.64197258,402,24.00479953,541
3,0.487019049,48,17.42579879,365,33.53474704,853,1.087023998,69,14.86938106,295,20.69280148,480,3.981366901,134
4,142.4038694,1558,138.6035791,1614,116.9782232,1546,173.3580663,1703,129.8061479,1531,136.6984443,1549,132.4022234,1538
5,267.025762,1794,130.526363,1573,189.3317027,1752,163.405238,1640,281.1392627,1832,272.4715371,1819,280.5541273,1831
6,20.09101608,527,95.6266109,1368,64.31340928,1214,44.79429836,957,40.3792075,873,44.55847242,948,46.13324837,960
7,53.20151562,1078,60.57606836,1003,50.23269099,1086,49.72943755,1060,46.46545995,958,47.17776083,990,48.98776325,995
8,65.60181621,1184,75.26647625,1182,67.26173153,1232,67.62589464,1216,64.48798585,1174,62.5502268,1144,65.39261921,1167
9,6.11143437,275,22.43076649,423,7.330137206,276,4.343850246,173,4.211873152,118,-6.14582941,12,5.652579605,161
10,92.01625103,1363,82.34486108,1261,72.84258723,1280,86.12140631,1325,93.27391785,1361,91.20946649,1344,93.10821741,1356
11,26.98059356,692,26.32168143,473,24.52559442,598,54.56484481,1088,31.82388523,700,44.93994309,958,32.78404862,732
12,65.82590083,1186,50.13807883,873,43.34104322,1017,59.93653064,1148,63.28290212,1163,62.17438863,1139,60.88200904,1128
13,76.73597834,1270,55.84221712,935,27.03259939,664,59.81479017,1144,55.92872664,1073,58.44282257,1096,61.72348978,1141
14,149.4967211,1580,157.0058323,1706,160.177717,1678,163.4918882,1646,150.5740579,1614,174.6664494,1679,143.8572863,1584
15,48.46483942,1024,11.27590713,311,43.11220004,1011,27.03769034,571,45.25687515,946,49.23776521,1018,46.70084338,969
16,48.06296048,1015,24.79604739,458,28.04860053,688,44.16195348,930,49.79311274,1006,47.91178959,997,44.06347206,926
17,13.48405114,409,63.91347477,1042,41.27223873,986,29.79394432,689,20.59123336,417,24.36661838,555,22.9655474,512
18,139.8962659,1550,162.9579533,1736,171.55752,1713,184.0370901,1737,144.8291392,1593,161.1286648,1637,153.0162716,1625
19,33.79669961,818,3.629000556,223,19.97509698,509,24.29779269,508,27.48347634,605,24.52426376,559,27.8990195,622
20,136.9925719,1541,143.4952492,1637,171.1348249,1712,151.4985568,1604,141.8395995,1580,144.3159735,1580,140.2795197,1571
21,273.2494411,1806,168.9147583,1765,212.0730462,1801,355.5974613,1842,265.1168063,1815,253.8329757,1804,261.2012172,1811
22,52.36803878,1069,65.74733437,1075,29.44838609,727,46.20190885,979,52.83783729,1043,46.76695752,983,47.87201133,986
23,10.25838754,344,7.421365258,271,21.92593735,537,30.51773665,708,22.58666406,473,14.41488569,334,25.81711903,572
24,37.27127201,863,57.54260558,962,27.16186703,666,31.90267206,727,41.72479207,895,41.25847464,896,38.07300009,822
25,108.8692393,1445,115.7262932,1499,62.73887232,1199,126.3681316,1506,113.2625099,1469,125.3587869,1510,102.7221507,1403
26,127.955405,1512,134.3693537,1592,128.2160339,1587,129.1831715,1516,135.7396779,1555,129.0013863,1526,131.4143851,1533
27,3.265662885,213,-24.86820973,21,13.9194994,382,29.6913886,680,16.60560131,331,11.92602167,290,14.05172965,296
28,52.73333109,1073,68.11470815,1108,56.43523371,1152,93.49048258,1364,53.09720033,1047,56.11622379,1076,55.70637897,1070
29,48.0269396,1013,11.48064402,312,23.89677578,583,30.78536054,711,38.84634493,841,43.4211908,938,37.40904292,816
30,23.56826166,624,45.64969823,819,24.64472059,606,33.52186599,775,28.20945046,621,26.79076236,619,28.58603333,639
31,25.88498306,667,30.64854455,527,21.63599537,535,47.23647847,1002,46.96132586,970,40.30368813,875,47.11298955,975
32,146.2727234,1571,81.47675397,1245,80.14907876,1332,72.57605373,1242,135.1781234,1553,140.8729192,1568,142.8905445,1579
33,0.585718846,62,-10.48507168,64,-8.277616059,25,0.635699172,0,0.798268458,16,0.775161596,87,0.539333027,15
34,17.36526522,471,56.30100289,943,5.785684274,253,21.5501217,434,20.52451259,415,16.04031491,383,18.01098308,370
35,84.61416508,1319,95.49944792,1366,73.78250511,1295,76.59826705,1255,90.0413328,1355,85.62002264,1322,84.38813075,1318
36,10.79218412,356,79.07895429,1222,67.8884643,1235,31.47271477,722,22.77401482,478,26.74620225,617,28.73748466,643
37,378.6831843,1853,145.7431933,1651,202.6775811,1784,299.4121661,1826,323.4152645,1855,308.5330565,1849,320.7759877,1851
38,38.66613747,889,45.44150063,816,38.21589373,941,50.13962467,1068,41.97257351,901,39.99185775,870,40.47022764,866
39,14.13930265,418,9.075277819,288,14.52742159,397,12.38822607,244,15.03416479,299,15.94614051,378,13.75474713,289
40,153.8757557,1594,147.7081555,1665,137.1445504,1617,86.18170964,1334,131.3268955,1534,137.5422912,1552,127.620143,1522
41,57.25778734,1110,103.9655423,1426,59.3981038,1174,83.9317819,1318,79.68353163,1290,82.03036244,1304,79.37863227,1288
42,53.26482701,1079,65.42987228,1069,48.87581034,1072,75.47958408,1250,57.55352616,1092,61.29314448,1124,60.52907824,1125
43,48.96997442,1031,36.43941113,592,46.14876972,1054,62.03489802,1161,51.13920901,1022,52.25731625,1040,59.1600493,1107
44,3.977523256,231,-11.77979765,51,13.36402976,368,28.37810895,609,18.21490273,360,18.33681498,431,13.7955328,290
45,216.6113932,1748,207.4360275,1829,257.5739796,1847,168.1940483,1684,281.8645961,1833,275.8374845,1823,241.7015011,1796
46,0.533413144,55,-8.529594436,99,-6.567293671,57,0.635699172,1,1.344160303,37,1.056301452,97,0.575865684,18
47,32.1887605,786,2.21041689,204,41.75936936,994,40.03949186,857,30.83989919,675,35.63530767,795,35.41796057,780
48,143.0623155,1561,159.2766785,1720,139.7508755,1628,142.7601431,1567,139.0362261,1569,147.7808295,1592,145.1619941,1594
49,83.34621634,1311,82.84679489,1264,56.55311896,1154,66.11286258,1194,65.42602629,1182,62.19752322,1142,56.07929578,1075
50,18.96113316,503,40.63451806,687,28.98831295,711,21.8027208,445,21.9389803,458,26.81510817,620,21.06415068,460
51,175.063967,1660,170.4950691,1767,181.8632555,1737,180.1444957,1714,181.0652836,1708,186.6500598,1709,175.4780154,1692
