,Actual,actual_ranks,SVR_pre,SVR_ranks,MLP_pre,MLP_ranks,DT_pre,DT_ranks,GBR_pre,GBR_ranks,HGBR_pre,HGBR_ranks,RF_pre,RF_ranks
0,43.682675,626,49.80290676699696,855,46.73185477802842,723,48.39542738095237,798,44.98998859081709,639,44.94092370733285,660,45.18899311370959,653
1,50.930525,960,48.200839945264256,790,47.29937519762467,745,46.31415976190476,696,49.942696642251256,889,49.28325006615306,858,49.57777512610562,864
2,66.354895,1742,65.1434698810138,1807,62.745113255658005,1774,60.017455952380956,1645,65.39361496304761,1776,65.12061695514853,1759,64.94959186883757,1769
3,17.23987,57,25.642669254195603,184,23.427210433020527,156,27.4653,230,20.715905795460145,83,19.261087422429146,68,21.34045488832324,103
4,52.9243,1103,52.58813777349162,1034,53.30483451690766,1078,61.389194629629635,1688,53.0856947413271,1089,53.11142915406719,1089,52.82713689683939,1056
5,44.78968,670,40.14356422835085,494,43.078644587667995,601,42.2074924,560,45.191623693838686,649,43.50071678018671,604,43.944942727776066,619
6,65.655655,1727,58.28263157677902,1447,57.81093791644881,1427,61.389194629629635,1687,63.956461253891064,1747,63.40501662079556,1711,63.44716166897216,1732
7,56.88924,1369,58.86556669587794,1497,59.065741398257884,1532,59.526459305555555,1565,60.038124259125226,1591,59.701214007166136,1537,58.86326822268084,1508
8,55.16522,1254,56.72537760113227,1330,56.153560704810026,1288,59.526459305555555,1562,56.154917484104395,1312,55.94160606888178,1278,55.63865101607869,1256
9,24.124355,165,24.478821295725602,168,24.044169945111147,177,23.237433421052636,130,24.5638596684389,162,22.163098234267473,134,23.99627050395422,160
10,50.464635,936,49.95877103264451,867,49.53076061944769,861,48.26508322580644,763,51.15535013080872,964,52.92302568209902,1067,50.32214889449844,908
11,64.975245,1713,62.78119977979504,1745,59.69573479439086,1591,65.31447315789474,1777,62.54892049787271,1704,64.43583609679328,1740,62.88704169489021,1716
12,53.394405,1141,52.14018713629918,997,51.83386197581304,982,52.81986202702704,1040,52.67484667009649,1059,53.36286964511366,1110,53.139662517827105,1071
13,56.36646,1336,58.08001563670343,1431,57.040733446348234,1361,52.5539715,1014,55.39386706691178,1249,55.620547207675074,1255,55.596555301355906,1253
14,39.93618,485,41.98377263001368,542,39.04585918329786,486,40.07415152173914,455,41.36433460186894,512,41.97340602290889,535,40.2842961239201,484
15,63.898485,1694,60.963849988941156,1641,60.873276253825026,1696,59.47692523809525,1536,61.75050753967561,1677,62.48189363210218,1687,62.11369346985247,1694
16,55.60901,1288,55.016172229191575,1210,54.72952780879953,1176,52.81986202702704,1042,55.404117026612965,1250,55.22797572278071,1222,55.412043503998234,1240
17,70.68472,1800,59.87049595641128,1569,58.69485024928025,1497,58.11466409090911,1468,66.13582351892657,1791,65.3555440097803,1763,64.99958540301789,1772
18,58.529215,1476,53.07630916669104,1065,54.090381748924656,1134,58.57140368421052,1485,57.192454966987995,1393,58.30023880267653,1449,57.814432891824325,1425
19,62.68056,1656,65.02893778869742,1805,64.81543227675652,1815,64.04471323529413,1765,63.403287610921886,1728,63.18342694494261,1707,63.437980451866764,1731
20,41.56767,538,42.718626255384784,572,42.48510733477344,583,44.15593884615385,665,41.73045968909127,525,41.59191346707726,527,41.89335291097337,543
21,45.56363,692,50.12418527955737,881,50.62650049950666,915,48.96101596774194,830,49.17530696936074,839,47.978409158058845,782,47.94049998442697,771
22,59.613125,1547,61.47917894928242,1685,59.86765457910059,1610,60.75559404761903,1661,60.23016428261317,1606,59.89548451840543,1548,60.06234911200403,1587
23,71.96975,1808,55.39059410659667,1234,58.96132926542387,1521,59.526459305555555,1594,64.23652358783038,1754,64.38748761189505,1738,66.38186494306265,1793
24,47.837135,801,48.37795761708703,798,46.76245026233897,725,52.81986202702704,1043,48.221004679478604,786,50.231653974865424,902,47.97759556951735,773
25,47.88793,806,53.49337556448035,1091,51.975876856868986,996,49.822850277777775,891,48.95282293027157,828,48.63091271214846,816,48.70094599703455,817
26,46.119605,721,53.821342575412764,1116,52.006866602232215,999,49.822850277777775,892,48.70003722831732,816,47.08552385736771,746,48.16663100318404,780
27,70.20871,1796,64.90921913346591,1802,63.311544751484945,1788,65.31447315789474,1774,67.40032550428514,1809,66.43502352065272,1781,66.39347165847292,1794
28,68.78286,1785,58.03368213939331,1427,58.509776395326156,1481,59.526459305555555,1587,62.7855294243858,1714,64.00569201445958,1729,64.4026123409569,1763
29,55.75888,1298,56.299351452151434,1307,56.081699018686315,1284,64.04471323529413,1763,57.43331765656624,1418,56.29655781572886,1306,58.69921273354429,1500
30,55.81206,1302,56.21329183458813,1303,56.36107676580982,1312,53.11790736842106,1081,55.03607618603679,1217,54.31255500002092,1163,56.22210349572745,1304
31,61.15971,1607,58.760248470939764,1492,59.921573727802176,1621,58.57140368421052,1491,59.5171490909755,1562,60.38094987707769,1580,58.97138595302793,1514
32,43.06864,597,40.569209712443076,501,40.6871444867442,534,40.6738512962963,483,44.15268675865308,617,43.97061848860927,614,43.64018629213814,612
33,16.270005,43,15.533406649494914,15,16.962846834974258,25,16.061897903225805,3,16.260909684728315,13,15.599540173159129,15,16.014343396384056,25
34,53.4301,1145,54.52307119454719,1169,63.31403057572689,1789,56.80233517857142,1327,57.25377761884599,1400,53.10739786746951,1087,54.61278930379426,1179
35,46.506045,731,48.145974316623274,785,47.70739719420838,765,42.92802326923076,602,47.49906158393931,751,46.68343101336743,728,47.00647039836808,721
36,67.582325,1768,54.67469686758938,1181,57.51941741985314,1409,61.389194629629635,1696,62.6316459012324,1710,63.10978463778236,1704,63.880200393097084,1747
37,48.802005,846,43.24107540488291,590,43.333939650188164,613,41.22505203703703,535,47.162599478403585,733,46.68561676899189,729,47.18674425442643,731
38,59.56524,1544,61.63335443568446,1696,61.3633507178497,1720,60.017455952380956,1626,60.03160951467058,1589,60.15583510900116,1569,60.247665539443666,1598
39,60.36679,1577,60.431933021329776,1606,58.70156331377431,1498,59.715757954545445,1596,58.5727028666818,1493,61.614966502010404,1649,60.044043793271385,1584
40,54.58527,1212,54.897017944727686,1196,56.38110355487497,1315,54.87288,1176,55.18601077392675,1229,54.10656462432375,1155,55.614286353427794,1255
