No,LCD,VF,density,KH,PLD,ASA,Va,MaxER,MinER,C_ratio,APC,ANC,A¦Å,A¦Ò,type,Qst,¦¤W,-<¦¤adsH>,Free_energy_ave
3,4.71075,0.344239,1.7876,1.48E+11,3.90547,353.311,0.107183,0.415569308,0.257038392,0.388888889,0.570285389,-0.570285389,2.063464948,0.176920719,1,27.36947289,0.017236126,73.04401,-503.6067229
4,4.69102,0.352292,1.81243,567253,3.85229,334.94,0.100197,0.430147174,0.248258321,0.388888889,0.563826181,-0.563826083,2.223549952,0.179112636,1,25.32747677,0.017298806,67.349385,-505.7201138
5,4.67302,0.349377,1.84813,49795600,3.82009,315.161,0.1014,0.399019332,0.271486804,0.388888889,0.578714472,-0.578714556,2.246021252,0.18083601,1,16.28038698,0.010848062,69.03517,-512.5661165
6,4.69761,0.335638,1.90641,1.27E+12,3.74654,298.954,0.0914811,0.399254075,0.270366748,0.388888889,0.580430056,-0.580430167,2.130052982,0.183214897,1,21.73917367,0.014990283,66.710015,-505.6701594
7,4.67061,0.331323,1.96962,855118000,3.68144,259.015,0.0883418,0.409083236,0.265320513,0.388888889,0.56681,-0.566809972,2.161037052,0.185302964,1,19.05445863,0.011379013,77.02822,-510.2214649
8,4.37853,0.199677,1.34661,7.55543,3.59861,267.701,0.0753004,0.361193079,0.313955336,0.449438202,0.188659768,-0.305184963,2.843451447,0.233414828,1,38.77628776,0.030160795,59.139995,-325.2280226
9,4.67382,0.54365,1.15833,3807440,3.90881,938.32,0.236548,0.373276716,0.297839602,0.428571429,0.45645625,-0.342342047,1.992311381,0.152129668,1,39.78321025,0.027300163,67.03358,-400.7016726
12,6.27961,0.50689,1.13147,0.394039,3.51034,908.897,0.243576,0.425171152,0.252452542,0.488372093,0.2782954,-0.241995957,2.548510054,0.193663524,1,55.4590177,0.047208824,54.03894,-387.6994939
14,7.70318,0.521129,1.08434,0.0323931,4.91038,1218.5,0.307653,0.425716407,0.271540381,0.457142857,0.170036188,-0.336454606,2.388123471,0.184328662,1,125.8100503,0.115237166,50.22045,-339.6245422
15,6.47621,0.368621,2.30944,0.0021553,4.29249,428.176,0.134578,0.376690324,0.304806071,0,1.459926214,-0.81755868,2.784221314,0.148164317,1,57.36567439,0.0594724,44.370515,-442.6360829
21,5.75165,0.481654,1.26343,0.118261,4.10445,783.511,0.246156,0.376943093,0.25135527,0.464285714,0.2599561,-0.299949308,2.535269518,0.207714321,1,65.71536627,0.048874744,61.85008,-325.2544799
23,4.2535,0.431364,1.23763,0.246763,3.26413,375.121,0.209594,0.366723744,0.305172209,0.457142857,0.178131391,-0.341418458,2.745249452,0.225138885,1,73.48839214,0.055371799,61.05032,-339.5182232
24,5.52187,0.30797,1.63796,0.200519,3.72148,196.314,0.0589756,0.347120412,0.317123097,0.291970803,0.602246135,-0.707400254,2.02546929,0.187867537,1,54.16331322,0.043604613,57.138735,-543.9879347
25,5.64563,0.285146,1.71617,0.110328,3.81414,189.253,0.059085,0.347419669,0.316851838,0.291970803,0.594331926,-0.69810419,2.114944361,0.196048292,1,51.34955148,0.041959827,56.29383,-543.4576309
26,7.40266,0.466505,1.01683,0.123037,5.04333,1129.06,0.297984,0.395196392,0.26042926,0.511111111,0.183750974,-0.251448746,2.511704971,0.194258631,1,116.3647257,0.119007481,44.978495,-300.7514233
27,6.45274,0.404918,1.12223,0.00999568,4.22462,946.794,0.262157,0.398078068,0.273018043,0.352941176,0.187521011,-0.231933901,2.085524132,0.180662631,1,62.91345995,0.06988018,41.41402,-326.3483144
29,8.76561,0.634801,1.05969,4078.45,6.5175,1411.51,0.446736,0.449069735,0.188594085,0.525,0.303133875,-0.303133925,1.950005485,0.155885149,1,108.8692393,0.104577187,47.88793,-289.9233456
30,8.24108,0.621985,1.04077,178.854,6.31049,1401.53,0.441404,0.448398479,0.18578876,0.525,0.305038342,-0.275987071,1.964835483,0.156618364,1,110.8775328,0.098961321,51.53899,-291.3995897
31,8.71169,0.633915,1.0948,3909.32,6.44453,1342.49,0.428387,0.448913636,0.189607558,0.525,0.297366275,-0.29736635,1.988453054,0.158734938,1,101.7797141,0.095674193,48.935525,-287.7529686
32,8.74251,0.63717,1.04816,265.733,6.51591,1443.18,0.444396,0.466381276,0.178689293,0.525,0.30286095,-0.302860925,2.010118645,0.156121963,1,90.21603365,0.082587096,50.249225,-291.7463865
33,8.04098,0.563965,0.979448,0.000691476,5.29484,1393.54,0.380623,0.422466913,0.200571904,0.580645161,0.112595219,-0.1201015,2.065010931,0.159263722,1,165.6346422,0.18778017,40.57507,-161.8558552
34,5.3901,0.643957,1.38641,5309230,4.50129,1322.86,0.33915,0.519252367,0.193639903,0.473684211,0.47828685,-0.531429806,1.612204631,0.133892442,1,21.21690143,0.015403319,63.361505,-466.4525723
